SURVEY_YEAR,ABUNDANCE_MIL
1983,15.553774599479677
1984,27.49199527599188
1985,9.449869529977173
1986,10.445665288935135
1987,10.970859129560763
1988,8.83003752884882
1989,5.723347685447123
1990,3.9549949348610673
1991,4.493758649993724
1992,6.03634211898891
1993,5.73656035672658
1994,2.4804027013306826
1995,4.205275495319666
1996,4.192394036369958
1997,26.688589219008758
1998,10.136936193738947
1999,2.824724640254507
2000,4.481870465926745
2001,7.434416925448586
2002,6.837464627803336
2003,7.087253395774452
2004,22.330048433973026
2005,10.510944078517264
2006,6.827345168566773
2007,12.43877925766685
2008,13.569626060590025
2009,7.9333735956510045
2010,4.550221535445388
2011,3.9542825299217434
2012,4.777572519150354
2013,4.475362985705186
2014,11.366323785075442
2015,3.9664135001545873
2016,1.3814432328333686
2017,1.383107148888595
2018,2.174464307455412
2019,2.196241320203434
2021,1.7873072805674002
2022,2.6424219545156054
2023,2.3588899309658653
