YEAR,cpue_fishery
1990,11.93
1991,11.44
1992,5.77
1993,8.83
1994,NA
1995,NA
1996,16.34
1997,14.55
1998,15.28
1999,12.66
2000,12.17
2001,19.41
2002,20.54
2003,18.78
2004,23.28
2005,23.77
2006,34.24
2007,27.73
2008,21.91
2009,21.41
2010,18.22
2011,28.32
2012,30.33
2013,27.06
2014,26.26
2015,31.2
2016,37.85
2017,19.99
2018,19.74
2019,15.42
2020,21.41
2021,NA
2022,NA
2023,20.54
2024,29.5522427
