YEAR,potlift
1990,262761
1991,226999
1992,206172
1993,254290
1994,NA
1995,NA
1996,76433
1997,90427
1998,144953
1999,149973
2000,103357
2001,66350
2002,72237
2003,134134
2004,96335
2005,114944
2006,71708
2007,113214
2008,139937
2009,118521
2010,131627
2011,45166
2012,38159
2013,45927
2014,57060
2015,48008
2016,33126
2017,48242
2018,30722
2019,34458
2020,20244
2021,NA
2022,NA
2023,15694
2024,11504
