STATION,CLAT,CLON,STATION_ID
K06,58.33,-164.63,K-06
K07,58.33,-164,K-07
K08,58.33,-163.36,K-08
K09,58.33,-162.71,K-09
K10,58.33,-162.05,K-10
K12,58.33,-160.75,K-12
K13,58.33,-160.18,K-13
K15,58.33,-158.94,K-15
K16,58.33,-158.3,K-16
K20,58.33,-169.73,K-20
K22,58.33,-171.01,K-22
K23,58.33,-171.65,K-23
K25,58.33,-172.93,K-25
K26,58.33,-173.56,K-26
K28,58.33,-174.74,K-28
K29,58.33,-175.38,K-29
L02,58.66,-167.21,L-02
L03,58.66,-166.56,L-03
L05,58.66,-165.3,L-05
L06,58.66,-164.65,L-06
L08,58.66,-163.35,L-08
L11,58.66,-161.44,L-11
L12,58.66,-160.8,L-12
L14,58.66,-159.53,L-14
L15,58.66,-158.89,L-15
L18,58.66,-168.5,L-18
L19,58.66,-169.15,L-19
L21,58.66,-170.43,L-21
L22,58.66,-171.08,L-22
L24,58.66,-172.36,L-24
L25,58.66,-173,L-25
L27,58.66,-174.26,L-27
L28,58.66,-174.9,L-28
L31,58.66,-176.83,L-31
L33,58.66,-178.04,L-33
M01,59,-167.88,M-01
M03,59,-166.58,M-03
M04,59,-165.93,M-04
M06,59,-164.65,M-06
M08,59,-163.35,M-08
M09,59,-162.71,M-09
M19,59,-169.18,M-19
M20,59,-169.83,M-20
M22,59,-171.13,M-22
M24,59,-172.43,M-24
M27,59,-174.36,M-27
M28,59,-175,M-28
M30,59,-176.31,M-30
M31,59,-176.95,M-31
M33,59,-178.17,M-33
N02,59.33,-167.26,N-02
N03,59.33,-166.6,N-03
N05,59.33,-165.31,N-05
N06,59.33,-164.65,N-06
N08,59.33,-163.34,N-08
N18,59.33,-168.56,N-18
N21,59.33,-170.53,N-21
N23,59.33,-171.83,N-23
N24,59.33,-172.5,N-24
N26,59.33,-173.8,N-26
N27,59.33,-174.45,N-27
N29,59.33,-175.75,N-29
N30,59.33,-176.38,N-30
N32,59.33,-177.66,N-32
N33,59.33,-178.31,N-33
O02,59.66,-167.28,O-02
O03,59.66,-166.63,O-03
O05,59.66,-165.31,O-05
O18,59.66,-168.61,O-18
O19,59.66,-169.26,O-19
O21,59.66,-170.58,O-21
O22,59.66,-171.25,O-22
O24,59.66,-172.56,O-24
O25,59.66,-173.23,O-25
O27,59.66,-174.45,O-27
O28,59.66,-175.1,O-28
O30,59.66,-176.53,O-30
O31,59.66,-177.15,O-31
O33,59.66,-178.45,O-33
P01,60,-167.98,P-01
P04,60,-165.99,P-04
P19,60,-169.31,P-19
P21,60,-170.63,P-21
P22,60,-171.3,P-22
P24,60,-172.63,P-24
P25,60,-173.3,P-25
P27,60,-174.6,P-27
P28,60,-175.26,P-28
P30,60,-176.71,P-30
P32,60,-177.93,P-32
P33,60,-178.6,P-33
Q03,60.33,-166.68,Q-03
Q18,60.33,-168.68,Q-18
Q19,60.33,-169.33,Q-19
Q21,60.33,-170.66,Q-21
Q22,60.33,-171.36,Q-22
Q24,60.33,-172.71,Q-24
Q25,60.33,-173.4,Q-25
Q27,60.33,-174.71,Q-27
Q28,60.33,-175.38,Q-28
Q30,60.33,-176.71,Q-30
Q31,60.33,-177.38,Q-31
Q33,60.33,-178.75,Q-33
R03,60.66,-166.7,R-03
R04,60.66,-166.03,R-04
R19,60.66,-169.41,R-19
R20,60.66,-170.09,R-20
R22,60.66,-171.45,R-22
R23,60.66,-172.11,R-23
R25,60.66,-173.46,R-25
R26,60.66,-174.13,R-26
R28,60.66,-175.45,R-28
R29,60.66,-176.2,R-29
R31,60.66,-177.5,R-31
R32,60.66,-178.18,R-32
S02,61,-167.42,S-02
S04,61,-166.05,S-04
S18,61,-168.79,S-18
S19,61,-169.41,S-19
S20,61,-170.16,S-20
S21,61,-170.78,S-21
S22,61,-171.52,S-22
S23,61,-172.16,S-23
S24,61,-172.89,S-24
S25,61,-173.5,S-25
S26,61,-174.26,S-26
S27,61,-174.88,S-27
S28,61,-175.63,S-28
S29,61,-176.28,S-29
S30,61,-176.96,S-30
S31,61,-177.63,S-31
S32,61,-178.31,S-32
S33,61,-179.05,S-33
T01,61.33,-168.15,T-01
T02,61.33,-167.45,T-02
T03,61.33,-166.76,T-03
T04,61.33,-166.07,T-04
T18,61.33,-168.84,T-18
T19,61.33,-169.53,T-19
T20,61.33,-170.22,T-20
T21,61.33,-170.91,T-21
T22,61.33,-171.6,T-22
T23,61.33,-172.3,T-23
T24,61.33,-172.99,T-24
T25,61.33,-173.68,T-25
T26,61.33,-174.37,T-26
T27,61.33,-175.06,T-27
T28,61.33,-175.76,T-28
T29,61.33,-176.3,T-29
T30,61.33,-176.96,T-30
T31,61.33,-177.65,T-31
T32,61.33,-178.52,T-32
T33,61.33,-179.21,T-33
U01,61.66,-168.19,U-01
U02,61.66,-167.41,U-02
U03,61.66,-166.79,U-03
U04,61.66,-166.09,U-04
U18,61.66,-168.8,U-18
U19,61.66,-169.59,U-19
U20,61.66,-170.18,U-20
U21,61.66,-170.99,U-21
U22,61.66,-171.55,U-22
U23,61.66,-172.39,U-23
U24,61.66,-173.08,U-24
U25,61.66,-173.78,U-25
U26,61.66,-174.43,U-26
U27,61.66,-175.18,U-27
U28,61.66,-175.78,U-28
U29,61.66,-176.46,U-29
U30,61.66,-177.15,U-30
U31,61.66,-177.98,U-31
U32,61.66,-178.68,U-32
U33,61.66,-179.38,U-33
V01,62,-168.24,V-01
V02,62,-167.53,V-02
V03,62,-166.82,V-03
V04,62,-166.12,V-04
V18,62,-168.94,V-18
V19,62,-169.65,V-19
V20,62,-170.36,V-20
V21,62,-171.06,V-21
V22,62,-171.77,V-22
V23,62,-172.48,V-23
V24,62,-173.18,V-24
V25,62,-173.89,V-25
V26,62,-174.6,V-26
V27,62,-175.3,V-27
V28,62,-176.01,V-28
V29,62,-176.72,V-29
V30,62,-177.43,V-30
V31,62,-178.13,V-31
V32,62,-178.84,V-32
V33,62,-179.55,V-33
W01,62.33,-168.28,W-01
W02,62.33,-167.43,W-02
W03,62.33,-166.85,W-03
W04,62.33,-166.08,W-04
W18,62.33,-168.85,W-18
W19,62.33,-169.71,W-19
W20,62.33,-170.28,W-20
W21,62.33,-171.14,W-21
W22,62.33,-171.7,W-22
W23,62.33,-172.57,W-23
W24,62.33,-173.15,W-24
W25,62.33,-174,W-25
W26,62.33,-174.56,W-26
W27,62.33,-175.43,W-27
W28,62.33,-176,W-28
W29,62.33,-176.86,W-29
W30,62.33,-177.57,W-30
W31,62.33,-178.29,W-31
W32,62.33,-179,W-32
W33,62.33,-179.72,W-33
X01,62.66,-168.33,X-01
X02,62.66,-167.61,X-02
X03,62.66,-166.89,X-03
X04,62.66,-166.16,X-04
X18,62.66,-169.05,X-18
X19,62.66,-169.78,X-19
X20,62.66,-170.5,X-20
X21,62.66,-171.22,X-21
X22,62.66,-171.94,X-22
X23,62.66,-172.67,X-23
X24,62.66,-173.39,X-24
X25,62.66,-174.11,X-25
X26,62.66,-174.84,X-26
X27,62.66,-175.56,X-27
X28,62.66,-176.28,X-28
X29,62.66,-177,X-29
X30,62.66,-177.73,X-30
X31,62.66,-178.45,X-31
X32,62.66,-179.17,X-32
X33,62.66,-179.89,X-33
Y01,63,-168.38,Y-01
Y02,63,-167.5,Y-02
Y03,63,-166.92,Y-03
Y04,63,-166.05,Y-04
Y18,63,-168.95,Y-18
Y19,63,-169.84,Y-19
Y20,63,-170.38,Y-20
Y21,63,-171.3,Y-21
Y22,63,-171.78,Y-22
Y23,63,-172.77,Y-23
Y24,63,-173.23,Y-24
Y25,63,-174.23,Y-25
Y26,63,-174.7,Y-26
Y27,63,-175.69,Y-27
Y28,63,-176.42,Y-28
Y29,63,-177.15,Y-29
Y30,63,-177.88,Y-30
Y31,63,-178.61,Y-31
Y32,63,-179.34,Y-32
Y33,63,-180.08,Y-33
Z03,54.66,-166.29,Z-03
Z04,54.66,-165.72,Z-04
Z05,54.66,-165.15,Z-05
C10,55.792,-162.188,C-10
D12,56.09645,-160.94133,D-12
F15,56.75993,-159.31583,F-15
G16,57.147,-158.744,G-16
K11,58.33,-161.4,K-11
K14,58.33,-159.55,K-14
K18,58.33,-168.46,K-18
K21,58.33,-170.38,K-21
K24,58.33,-172.3,K-24
K27,58.33,-174.31,K-27
L01,58.66,-167.86,L-01
L04,58.66,-165.93,L-04
L07,58.66,-164,L-07
L10,58.66,-162.08,L-10
L13,58.66,-160.17,L-13
L16,58.66,-158.25,L-16
L20,58.66,-169.78,L-20
L23,58.66,-171.71,L-23
L26,58.66,-173.63,L-26
L29,58.66,-175.55,L-29
L32,58.66,-177.4,L-32
M02,59,-167.23,M-02
M05,59,-165.3,M-05
M07,59,-164,M-07
M18,59,-168.53,M-18
M21,59,-170.48,M-21
M23,59,-171.78,M-23
M26,59,-173.71,M-26
M29,59,-175.73,M-29
M32,59,-177.6,M-32
N01,59.33,-167.91,N-01
N04,59.33,-165.95,N-04
N07,59.33,-164,N-07
N19,59.33,-169.23,N-19
N22,59.33,-171.18,N-22
N25,59.33,-173.15,N-25
N28,59.33,-175.1,N-28
N31,59.33,-177.06,N-31
O01,59.66,-167.95,O-01
O04,59.66,-165.96,O-04
O07,59.66,-164,O-07
O20,59.66,-169.91,O-20
O23,59.66,-171.9,O-23
O26,59.66,-173.86,O-26
O29,59.66,-175.86,O-29
O32,59.66,-177.8,O-32
P02,60,-167.31,P-02
P18,60,-168.65,P-18
P20,60,-169.96,P-20
P23,60,-171.96,P-23
P26,60,-173.95,P-26
P29,60,-175.93,P-29
P31,60,-177.21,P-31
Q01,60.33,-167.98,Q-01
Q04,60.33,-166.01,Q-04
Q20,60.33,-170.03,Q-20
Q23,60.33,-172.06,Q-23
Q26,60.33,-174.06,Q-26
Q29,60.33,-176.03,Q-29
Q32,60.33,-178.08,Q-32
R02,60.66,-167.38,R-02
R18,60.66,-168.74,R-18
R21,60.66,-170.77,R-21
R24,60.66,-172.78,R-24
R27,60.66,-174.83,R-27
R30,60.66,-176.8,R-30
R33,60.66,-178.9,R-33
S03,61,-166.65,S-03
B18,55.33,-168.08,B-18
D07,56,-164,D-07
E02,56.33,-167.03,E-02
E19,56.33,-168.86,E-19
F08,56.66,-163.38,F-08
F24,56.66,-171.96,F-24
G11,57,-161.56,G-11
G25,57,-172.65,G-25
H11,57.33,-161.53,H-11
H25,57.33,-172.71,H-25
I09,57.66,-162.75,I-09
I23,57.66,-171.53,I-23
J07,58,-164,J-07
J19,58,-169.06,J-19
K02,58.33,-167.18,K-02
K19,58.33,-169.11,K-19
L09,58.66,-162.7,L-09
L30,58.66,-176.2,L-30
M25,59,-173.08,M-25
N20,59.33,-169.86,N-20
O06,59.66,-164.65,O-06
P03,60,-166.65,P-03
Q02,60.33,-167.3,Q-02
R01,60.66,-168.06,R-01
S01,61,-168.05,S-01
,60.16667,-172.33333,QP2423
,60.16667,-173.01667,QP2524
,60.16667,-174.35,QP2726
,60.16667,-173.68333,QP2625
,59.83333,-172.25,PO2423
,59.83333,-172.91667,PO2524
,59.83333,-173.58333,PO2625
,59.83333,-174.23333,PO2726
,59.5,-172.88333,ON2524
,59.5,-173.5,ON2625
,57.83333,-168.73333,JI1918
,57.83333,-169.36667,JI2019
,57.83333,-169.98333,JI2120
,57.83333,-170.61667,JI2221
,57.5,-168.75,IH1918
,57.5,-169.36667,IH2019
,57.5,-169.98333,IH2120
,57.5,-170.58333,IH2221
,57.16667,-168.63333,HG1918
,57.16667,-169.31667,HG2019
,57.16667,-169.9,HG2120
,57.16667,-170.48333,HG2221
,56.83333,-168.61667,GF1918
,56.83333,-169.3,GF2019
,56.83333,-169.9,GF2120
,56.83333,-170.48333,GF2221
